run1,,Baseline 100%T,,GaAs,,
eV,Abs,eV,%T,eV,%T,
0.4026094973,-0.01344729029,0.4026094973,103.1912918,0.4026094973,48.98432922,
0.4027904868,-0.01290888339,0.4027904868,103.3354263,0.4027904868,48.72436905,
0.4029715061,-0.0125506632,0.4029715061,103.4412842,0.4029715061,48.94150162,
0.4031525254,-0.01427930314,0.4031525254,103.1869431,0.4031525254,49.22006607,
0.4033335447,-0.01333946176,0.4033335447,103.3772125,0.4033335447,49.07580185,
0.4035145342,-0.01495694276,0.4035145342,103.1510468,0.4035145342,49.12607574,
0.4036955833,-0.01486809924,0.4036955833,103.122818,0.4036955833,49.03421402,
0.4038766026,-0.015046468,0.4038766026,103.1694183,0.4038766026,49.17849731,
0.404057622,-0.013156523,0.404057622,103.3331299,0.404057622,48.8351593,
0.4042386115,-0.01309122331,0.4042386115,103.2818756,0.4042386115,48.86281204,
0.4044196308,-0.01341300737,0.4044196308,103.3604126,0.4044196308,48.80449295,
0.4046006501,-0.01290551573,0.4046006501,103.2688141,0.4046006501,48.78936005,
0.4047816694,-0.01364520844,0.4047816694,103.078476,0.4047816694,48.82873535,
0.4049627185,-0.01293622144,0.4049627185,103.0589218,0.4049627185,49.11360931,
0.405143708,-0.01273375656,0.405143708,103.2372589,0.405143708,48.86978149,
0.4053247273,-0.01277442835,0.4053247273,103.2957916,0.4053247273,48.92923355,
0.4055057466,-0.01357215364,0.4055057466,103.0576859,0.4055057466,48.72388077,
0.4056867659,-0.01368815266,0.4056867659,103.3108673,0.4056867659,48.90299225,
0.4058677554,-0.01504076645,0.4058677554,103.2270889,0.4058677554,48.9044342,
0.4060488045,-0.01199880429,0.4060488045,103.4323807,0.4060488045,48.81778336,
0.4062298238,-0.01204739977,0.4062298238,103.176033,0.4062298238,48.93906784,
0.4064108431,-0.01249855291,0.4064108431,102.9846802,0.4064108431,49.29928207,
0.4065918326,-0.01357376017,0.4065918326,103.2184448,0.4065918326,48.91107559,
0.4067728519,-0.01314014848,0.4067728519,103.148819,0.4067728519,48.87021637,
0.4069538713,-0.01329633314,0.4069538713,103.222908,0.4069538713,49.07151794,
0.4071349204,-0.01308916323,0.4071349204,102.8401489,0.4071349204,49.13779068,
0.4073159099,-0.0124437185,0.4073159099,103.0811996,0.4073159099,48.97838974,
0.4074969292,-0.01345080417,0.4074969292,102.9575806,0.4074969292,48.95689392,
0.4076779485,-0.01339312829,0.4076779485,103.1029663,0.4076779485,48.9398613,
0.4078589678,-0.01167798601,0.4078589678,102.8963928,0.4078589678,49.20898819,
0.4080399573,-0.01171825267,0.4080399573,102.9187164,0.4080399573,49.1910553,
0.4082210064,-0.01183101907,0.4082210064,103.3200989,0.4082210064,48.70848083,
0.4084020257,-0.01362629421,0.4084020257,103.0087433,0.4084020257,48.89641571,
0.408583045,-0.01283882093,0.408583045,103.0138016,0.408583045,48.92972946,
0.4087640345,-0.01294139773,0.4087640345,103.1570663,0.4087640345,48.91527176,
0.4089450538,-0.01216511521,0.4089450538,103.086731,0.4089450538,48.97574615,
0.4091260731,-0.01252692286,0.4091260731,103.1510849,0.4091260731,48.9315033,
0.4093070924,-0.01331300288,0.4093070924,102.9950104,0.4093070924,48.89840317,
0.4094881415,-0.0123207951,0.4094881415,102.9863815,0.4094881415,48.92800903,
0.409669131,-0.01230841503,0.409669131,102.9837494,0.409669131,49.28034973,
0.4098501503,-0.01219295338,0.4098501503,102.8548508,0.4098501503,49.25214767,
0.4100311697,-0.01388179883,0.4100311697,103.528511,0.4100311697,49.03920364,
0.410212189,-0.01359889843,0.410212189,102.8189163,0.410212189,49.22915268,
0.4103931785,-0.01322311908,0.4103931785,103.0724487,0.4103931785,48.96987152,
0.4105742276,-0.01309715025,0.4105742276,103.0936356,0.4105742276,49.07588577,
0.4107552469,-0.01257656608,0.4107552469,103.2425079,0.4107552469,48.95982361,
0.4109362662,-0.01252571493,0.4109362662,103.1295929,0.4109362662,49.04356766,
0.4111172557,-0.01266321447,0.4111172557,103.1474609,0.4111172557,49.02383423,
0.411298275,-0.01266306359,0.411298275,103.0727997,0.411298275,49.21574402,
0.4114792943,-0.01262786239,0.4114792943,103.1643829,0.4114792943,48.95151138,
0.4116603434,-0.01261966582,0.4116603434,103.0642853,0.4116603434,49.11678696,
0.4118413329,-0.01270092558,0.4118413329,102.9211197,0.4118413329,49.16099167,
0.4120223522,-0.01228793245,0.4120223522,103.0656204,0.4120223522,49.20333481,
0.4122033715,-0.01270610467,0.4122033715,103.1224365,0.4122033715,48.97932434,
0.4123843908,-0.01179549936,0.4123843908,103.0960999,0.4123843908,49.19269943,
0.4125653803,-0.01320709847,0.4125653803,102.9259415,0.4125653803,49.11037064,
0.4127464294,-0.01296672411,0.4127464294,102.9849319,0.4127464294,49.19326782,
0.4129274487,-0.01240201015,0.4129274487,103.1598587,0.4129274487,49.05612946,
0.4131084681,-0.01269519329,0.4131084681,102.9925919,0.4131084681,49.11458969,
0.4132894576,-0.0128258029,0.4132894576,102.9288025,0.4132894576,49.15013123,
0.4134704769,-0.01243093982,0.4134704769,102.915451,0.4134704769,49.09078217,
0.4136514962,-0.01248215325,0.4136514962,102.9640198,0.4136514962,49.14304733,
0.4138325155,-0.01204493269,0.4138325155,102.9392471,0.4138325155,49.1198616,
0.4140135646,-0.01252878364,0.4140135646,103.0140533,0.4140135646,49.17364502,
